Concern,Status,Stage,Also called,Trigger,Consultative,Fact sheet url,Our documentation doc,What does it support,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related planning considerations,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number,specification-url
Essex Wildlife Trust reserves,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Nature reserves and discovery centres managed and protected by Essex Wildlife Trust,,,✓,,,,,,,Biological Record Centres,,,,,,,,,,,,,,
Existing railway network,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,The existing railway network.,,,✓,,,,,,,Department for Transport,,,,,,,,,,,,,,
Explosive and ordnance storage,Archived,Archived,,,,https://docs.google.com/document/d/13TarVxC94K5M49_LfJyr2EHW9rZT0_cPsJ_u8fVWNrw/edit#heading=h.lb9do641w06g,,,Low,✓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast food exclusion zone,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Zones where fast food outlets are banned because they'd be within 400m of schools and other places where children congregate ,,,✓,,,,,,,,,,,,,,,,,,,,,
Fibre to the premises (FTTP),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Also known as ultrafast full fibre broadband, this involves laying fibre optic cables directly from the broadband exchange into homes, offering speeds of up to 1,000Mb (megabits per second) – around 30 times faster than standard fibre",,The Levelling Up White Paper 2022,✓,,✓,,,,,,,,,,,,,,,,,,,
Fire and rescue stations,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Buildings which store firefighting equipment, such as fire engines and hoses, as well as providing working and living spaces for firefighters and support staff",,,✓,,,,,,,,,,,,,,,,,,,,,
Flood risk area,Backlog,Backlog,,,,,,Modern planning software,,,,,,,,,,,,✓,,,,,Areas where there is a risk of flooding from rivers or the sea,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,,
Flood risk zone 1,Backlog,Screen,,,,https://docs.google.com/document/d/1mc5UMRPGDU6ba7hNMPDqczdvB4Geu0Mm2aN19GRmASg/edit#heading=h.lb9do641w06g,,Modern planning software,High,✓,,,,,,,,,,,,,,,An area with a less than 0.1% (1 in 1000) chance of flooding from rivers or the sea,,,✓,,,,,,,,,,,,,,,,,,,,,
Flood risk zones,On the platform,On the platform,,,,,,Modern planning software,,✓,,,✓,✓,,,,✓,,,✓,,,✓,Areas at risk from flooding from rivers or the sea,,,✓,,,,,No,,"Environment Agency, Lead Local Flood Authorities",,,,,,,,,No Licence Provided,,,,46,
Flood risk zones 2,Archived,Archived,,,,,,Modern planning software,,✓,,,✓,✓,,,,✓,,,✓,,,✓,An area with between 0.1% (1 in 1000) and 1% (1 in 100) chance of flooding from rivers or between 0.1% (1 in 1000) and 0.5% (1 in 200) chance of flooding from the sea,,,✓,,,,,No,,,,,,Weekly,,Flood Map for Planning (Rivers and Sea) - Flood Zone 2,https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-zone-2,https://environment.data.gov.uk/arcgis/rest/services/EA/FloodMapForPlanningRiversAndSeaFloodZone2/MapServer/0,No Licence Provided,,Open planning software;Development consent orders (NSIP);Environmental planning assessment,5,46,
Flood risk zones 3,Archived,Archived,,,,,,Modern planning software,,✓,,,✓,✓,,,,✓,,,✓,,,✓,"An area with a 1% (1 in 100) or greater chance of flooding from rivers, or a 0.5% (1 in 200) or greater chance of flooding from the sea ",,,✓,,,,,No,,,,,,Weekly,,,https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-zone-3,,No Licence Provided,,Open planning software;Development consent orders (NSIP);Environmental planning assessment,6,46,
Flood risk zones 3b,Prioritised backlog,Screen,,,,,,Modern planning software,High,✓,,,,,,,,,,,,,,,"Flood risk zone 3b, or the 'functional floodplain' is land where water has to flow or be stored in times of flooding, often to protect downstream communities from flooding.",,,✓,,,,,,,Lead Local Flood Authorities,,,,,,,,,,,,,46,
Flood storage areas,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,✓,"Areas that act as a balancing reservoir, storage basin or balancing pond for flood control",,,✓,,,,,,,Environment Agency,,,,,,,https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-storage-areas,,,,Development consent orders (NSIP),,,
Food hygiene rating,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Rating that reflects the standards of food hygiene found on the date of the local authority inspection,,,,,,,,,,Food Standards Agency,,,,,,,,,,,,,,
Food safety notice,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Notices of serious food safety problems that can include banning certain equipment or processes until improvements have been made,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Further education,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Non-advanced courses taken after the period of compulsory education. Primarily taught to those aged 16 and over in further education colleges, work-based learning, and adult and community learning institutions",,,✓,,,,,,,,,,,,,,,,,,,,,
Gas pipeline,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Gas pipelines are wide-diameter, long-distance pipelines that transport natural gas from the producing and processing areas to storage facilities and distribution centres",,The Pipelines Safety Regulations 1996,✓,,,,,,,Health and Safety Executive,,,,,,,,,,,,,,
Gas pipeline zones,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Zones which require proper selection and installation of apparatus to be used safely in that environment,because of the properties of the flammable gas present - classified as inner, middle and outer zones",,The Pipelines Safety Regulations 1997,✓,,,,,,,Health and Safety Executive,,,,,,,,,,,,,,
GeoClimate,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,Maps and data showing potential change in subsidence due to changes in climate,,,,,,,,,,,,,,,,,https://www.bgs.ac.uk/datasets/geoclimateukcp18-open/,,,,,,,
Geological disturbance - faults,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Lines of discontinuity in bedrock where rocks have moved relative to each other,,,,,,,,,,Coal Authority,,,,,,,,,,,,,,
Geological disturbance - fissure and breakline,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Fissures are a crack or opening in rock or the earth created by mining  and breaklines are a vertical step in the rock or earth, created when underground mining has caused differential settlement at the surface",,,,,,,,,,Coal Authority,,,,,,,,,,,,,,
Geology 625K,Backlog,Archived,BGS Geology 625k,,,,,,,,,,,,,,,,,,,,,✓,Data identifying landscape areas (shown as polygons) attributed with geological names and rock type descriptions,,,,,,,,,,,,,,,,,https://www.bgs.ac.uk/products/digitalmaps/DiGMapGB_625.html,,,,,,,
GeoScour,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Information on the likelihood of river scour (when water erodes sediments) occurences,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
GeoSure 5km hex grids,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Overview of the likelihood of 6 naturally occurring geohazards ,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
GeoSure shrink-swell 3D,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Map identifying areas of potential shrinking and swelling of the ground in 3D in the London and Thames Valley area,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
GeoSure shrink-swell subsurface,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Map identifying areas of potential shrinking and swelling of the ground that are hidden from the surface underneath other solid formations ,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Golf courses,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,Large areas of grass specially designed for people to play golf on,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,,
GP practices,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Buildings in which one or more GPs provide general medical services to patients,,,✓,,,,,,,NHS,,,,,,,,,,,,,,
Grassland,Backlog,Backlog,,,,,,,,,,,,,,,✓,,,,,,,,Landscapes dominated by grasses,,,✓,,,,,,,,,,,,,,,,,,,,,
Great Crested Newt risk zones,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas where the distribution of great crested newts (GCN) has been categorised into zones ,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Great Crested Newt strategic opportunity areas,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas where new ponds would benefit great crested newt (GCN) populations ,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Great crested newts eDNA pond surveys,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Surveys of ponds to detect newt environmental DNA,,,✓,,,,,,,Natural England,,,,,,,,,,,,,,
Greater London archaeological priority areas,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,Areas of Greater London where there is significant known archaeological interest or potential for new discoveries,,,✓,,,,,,,Historic England,,,,,,,,,,,,,,
Green corridors,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas that create habitat connections and active travel routes through encouraging exercise and healthy living while linking fragmented sites of biodiversity,,,✓,,,,,,,Local planning authorities,,,,,,,,,,,,,,
Greenbelt,On the platform,On the platform,,,,,,Modern planning software,,,,,✓,✓,,,,✓,,,,,,,An area of open land around a city that cannot be built on,,,✓,,,,,,,Local planning authorities,,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,45,
Groundwater Source Protection Zones,Backlog,Backlog,Source protection zones,,,,,,,,,,,,,,,,,,,,,,Zones that provide additional protection to safeguard drinking water quality,,,✓,,,,,,,Environment Agency,,,,,,,,,,,,,,
Groundwater vulnerability,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Whether groundwater has a high, medium or low risk of pollution",,,✓,,,,,,,British Geological Survey; Envionment Agency,,,,,,,,,,,,,,
"Gypsy, Roma & traveller sites",In development,Co-design,,,,,,LURA;Faster local plans,,,,,✓,,,,,,,,,,,,"An area of land where gypsy, Roma and traveller communities live which may be owned and managed privately or by the council",,,✓,,,,,Yes,,Local planning authorities,,Multiple,Small,,Site allocations,,,,,,Local plans;Leasehold Land & Planning Systems,22,35,
Habitat networks,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,,Sets of separate areas of habitat that are close enough together to connect in some way,,,✓,,,,,,,Natural England,,,,,,,,,,,Development consent orders (NSIP),,,
Hazardous substance contravention notice,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,A hazardous substance contravention notice can be issued to a person who does not have the consent to store hazardous substances,,Control of Major Accident Hazards Regulations 2015,✓,,,✓,,,,"Health and Safety Executive, Environment Agency, Office of Nuclear Regulation",,,,,,,,,,,,,,
Hazardous waste interrogator,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,Environment Agency,,,,,,,,,,,,,,
Health and Safety Executive Consultation Zones,Backlog,Screen,Safety hazard areas,,,https://docs.google.com/document/d/1YgFbQ_-ye98hrGYQg9j5HXtPeVrr8Zcx_08NHAlWe6c/edit,,,,,,,,,,,,,,,,,,,"The Health and Safety Executive (HSE) sets the consultation zone around major hazard sites and major accident hazard pipelines, after assessing the risks and likely effects of major accidents",,,✓,,,,,,,Health and Safety Executive,,,,,,,,,,,,,,
Heathland and shrub,Backlog,Backlog,,,,,,,,,,,,,,,✓,,,,,,,,Land that has at least 25% cover of woody species such as gorse or heather,,,✓,,,,,,,,,,,,,,,,,,,,,
Hedgerows,Backlog,Screen,,,,https://docs.google.com/document/d/1NafrVW_dC2nvDTDBQvey-271aLLFpGlCpN-N30OZDn4/edit#heading=h.lb9do641w06g,,,,,,,,,,,✓,,,,,,,,Any boundary line of trees or shrubs over 20m long and less than 5m wide,,,✓,,,,,,,,,,,,,,,,,,The biodiversity metric 4.0 and small sites metric GIS data standard,,,
Heritage action zone,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Grant-funded projects restoring historic environments,,,✓,,,,,,,Historic England,,,,,,,,,,,,,,
Heritage assets of archaeological interest,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,"An area that holds, or potentially holds, evidence of past human activity worthy of expert investigation",,,✓,,,,,,,Historic England,,,,,,,,,,,Environmental planning assessment,,,
Heritage at risk,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,"Hostoric sites that are most at risk of being lost as a result of neglect, decay or inappropriate development",,,✓,,,,,,,Historic England,,,,,,,,,,,,,,
Heritage coast,On the platform,On the platform,Protected sites,,,,,,,,,,✓,,,,,,,✓,,,,,A stretch of undeveloped coast designated for conservation,,,✓,,,,,,,Natural England,Natural England,Single,Small,,,,,,,,Environmental planning assessment,,,
Higher education,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Both undergraduate and postgraduate courses, typically attended in higher education institutions, such as Universities.",,,✓,,,,,,,,,,,,,,,,,,,,,
Highway network,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,Highways England,,,,,,,,,,,,,,
Historic environment record,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Details of local archaeological sites and finds, historic buildings and historic landscapes",,,✓,,,,,,,Historic England,,,,,,,,,,,,,,
Historic landfill,Backlog,Backlog,,,,,,,,,,,,,,,,,,✓,,,,,Sites where there is no PPC (Pollution Prevention and Control) permit or waste management licence currently in force,,,✓,,,,,,,Environment Agency,,,,,,,,,,,Environmental planning assessment,,,
Historic parks and gardens,On the platform,On the platform,,,,,,,,,,,,✓,,,,,,,,,,,"Designed landscapes of special historical interest because of their layout, features and architectural decoration",,,✓,,,,,,,Historic England,Historic England,Single,Small,,,Registered Parks and Gardens,https://historicengland.org.uk/listing/the-list/data-downloads,https://historicengland.org.uk/content/data-downloads-gis/parks-and-gardens/,OGL3,,Development consent orders (NSIP),,50,
Historic stone quarry,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Area where quarrying of stone was previously carried out,,,✓,,,,,,,,,,,,,,,,,,,,,
Historical mineral planning permissions,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Boundaries for permitted, withdrawn and refused mineral planning permissions for England and Wales",,,✓,,✓,✓,,,,British Geological Survey,,,,,,,,,,,,,,
Hospital performance,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Measures of hospital performance on a national level,,,,,,,,,,NHS,,,,,,,,,,,,,,
Hospitals,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Building where medical and surgical treatment and nursing care for sick or injured people is provided,,,✓,,,,,,,NHS,,,,,,,,,,,,,,
Houses in multiple occupation,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,A property rented out by at least 3 people who are not from one 'household' (for example a family) but share facilities like the bathroom and kitchen,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Housing numbers,Backlog,Research,,,,,,Faster local plans,,,,,✓,,,,,,,,,,,,Number of new homes the government aims to build per year,,,✓,,✓,,,Yes,,Local planning authorities,,,,,,,,,,,,,56,
Housing waiting list,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,A waiting list of people who qualify for social housing,,,✓,,✓,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
HS2 safeguarded area,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,Protected land that might be needed to build the HS2 railway,,High Speed Rail (London–West Midlands) Act 2017,✓,,,✓,,,HS2 Limited,HS2 Limited,,,,,,,,,,,,,,
Hydrogeological maps,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Maps that bring basic geological information together with data on the hydraulic and hydrochemical characteristics of rocks and their usefulness for groundwater supply,,,,,,,,,,British Geological Survey,,,,,,,,,,,,,,
Important bird areas,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,✓,Areas identified as being globally important for the conservation of bird populations,,,✓,,,,,,,,,,,,,,https://opendata-rspb.opendata.arcgis.com/datasets/c38f60f68f094f269d90db26b1381837_0,,,,Development consent orders (NSIP),,,
Indoor sports and leisure facilities,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Multi-sports building where a range of sport and recreational activities can take place,,,✓,,,,,,,,,,,,,,,,,,,,,
Infrastructure funding statements,On the platform,On the platform,,,,,,,,,,,,,,✓,,,,,,,,,A summary of financial contributions councils have secured through section 106 agreements from new developments,Infrastructure Funding,,✓,,,✓,,Yes,,Local planning authorities,Local planning authorities,Multiple,Small,Annually,,,,,,,,,,https://digital-land.github.io/specification/specification/infrastructure-funding-statement/
Inner urban improvement area,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Integrated Care Board (ICB),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Partnerships between the NHS, councils and the voluntary sector to improve health and care services",,,✓,,,,,,,,,,,,,,,,,,,,,
Internal Drainage District,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas that derive benefit or avoid danger as a result of drainage operations,,,✓,,,,,,,,,,,,,,,,,,,,,
Invasive non native species,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Species which have been introduced into areas outside their natural range through human actions and are posing a threat to native wildlife,,,✓,,,,,,,Biological Record Centres,,,,,,,,,,,,,,
Irreplaceable habitats,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,✓,,,,,"Habitats that could not be recreated if damaged, such as ancient woodland, ancient and veteran trees, blanket bog, limestone pavement, sand dunes, salt marsh and lowland fens ",,Biodiversity Gain Requirements (Irreplaceable Habitat) Regulations 2024,✓,,,,,,,Local planning authorities,,,,,,,,,,,Environmental planning assessment,,,
Key business areas,Archived,Archived,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Lakes,Backlog,Backlog,Watercourses,,,,,,,,,,,,,,✓,,,,,,,,Large areas of fresh water surrounded by land,,,✓,,,,,,,,,,,,,,,,,,,,,
Land maintenance notice,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"A notice served when the condition of land is having an
adverse effect on a neighbourhood",,Town and Country Planning Act 1990,✓,,✓,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Land ownership boundary,Backlog,Archived,Land registry polygons;Red line boundaries,,,,,,,,,,✓,,,,,,,,,,,,The rough boundary of a property,,,,,,,,,,Land Registry,,,,,,,,,,,Local plans,,,
Land registry polygons / red line boundaries,Piloting,On the platform,Land ownership boundary,,,https://docs.google.com/document/d/1iGOw61rjvFIqZHR8RzL6yGXcjs0EYHQdHNEANUdF3Jc/edit,,,High,✓,,,,,,,,,,,,,,,The indicative shapes and positions of each boundary of registered titles for land and property,,,✓,,,,,,,,,,,,,,,,,,Open planning software,,49,
Land required for public purpose,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Land reserved for a public purpose under a planning scheme,,Town and Country Planning Act 1990,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Land to be acquired for roadworks,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Land reserved for roadworks,,Town and Country Planning Act 1990,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Landmark buildings,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Buildings of great historical or artistic value that have protection to prevent them from being changed or destroyed,,,✓,,,,,,,,,,,,,,,,,,,,,
Landmark features,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Easily recognisable features of land that help us work out where we are,,,✓,,,,,,,,,,,,,,,,,,,,,
Local Environment Record Centre boundaries,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Local Environmental Records Centre (LERC) areas,,,✓,,,,,,,Association of Local Environmental Records Centres,,,,,,,,,,,,,,
Less favoured areas,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Remote and constrained rural areas where funding is provided to farming businesses,,,✓,,,,,,,DEFRA,,,,,,,,,,,,,,
Libraries,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"A building containing collections of books and other media for use and borrowing by the public. Libraries increasingly have broader offerings, including child and youth provision, community services and health and wellbeing support.",,,✓,,,,,,,,,,,,,,,,,,,,,
LiDAR composite DSM - 2m,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dsm-2017-2m,,,,,,,
LiDAR composite DTM - 1m,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dtm-2017-1m,,,,,,,
LiDAR composite DTM - 25cm,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,,https://ckan.publishing.service.gov.uk/dataset/lidar-composite-dtm-2017-25cm,,,,,,,
Listed buildings,Piloting,On the platform,,,,,,,,✓,,,✓,✓,,,,✓,,,,,,,A building which is protected because it has special architectural or historic interest ,,Planning (Listed Buildings and Conservation Areas) Act 1990,✓,✓,,,✓,,,Historic England,Historic England;Local planning authorities,Multiple,Large,Monthly,,,,,,,Open planning software;Development consent orders (NSIP);Environmental planning assessment,,44,https://digital-land.github.io/specification/specification/listed-building/
Local air quality action plan,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Plan that outlines local action to improve air quality,,Environment Act 1995,✓,,,✓,,Yes,,Local planning authorites,,Multiple,Small,,,,,,,,,,,
Local area requirements,In development,Ready for go/no-go,Local validation checklist,,,,,Modern planning software,,,,,,,,,,,,,,,,,Requirements (sometimes known as validation checklists) that set out supporting information which applicants need to include with a planning application,,,✓,,,✓,,,,Local planning authorites,,,,,,,,,,,Data standards team;Open system labs,,52,
Local authority district,On the platform,On the platform,,,,,,,,✓,,,,✓,,,,✓,,,,,,✓,The geographic area that a local government body is responsible for,,,✓,,,,,,,Office for National Statistics,Office for National Statistics,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,,,
Local development order,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Local development orders (LDOs) provide permitted development rights for specified types of development in defined locations.,,Planning and Compulsory Purchase Act 2004,✓,,,,,,,Local planning authorites,,,,,,,,,,,,,,
Local flood data,Prioritised backlog,Screen,,,,https://docs.google.com/document/d/1GJdkEbpLlfcB9AbBfLcDgkvFMxs7kPrtc_y_mxOby-I/edit,,Modern planning software,,✓,,,,,,,,,,,,,,,,,,✓,,,,,,,Local planning authorites,,,,,,,,,,,,,58,
Local geological site,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Non-statutory geological sites which are given protection through the planning process, designated by local authorities.",,,✓,,,,,,,Local planning authorites,,,,,,,,,,,,,,
Local green space,Backlog,Backlog,,,,,,,,,,,,✓,,,,,,,,,,,"Protected green areas demonstrably special to the local community, whether in a village or in a neighbourhood in a town or city",,,✓,,,,,,,Local planning authorites,,,,,,,,,,,Development consent orders (NSIP),,,
Local heritage assets,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Assets designated by local authorities which are of local significance and require protection,,,✓,,,,,,,Local planning authorites,,,,,,,,,,,,,,
Local landscape area,Backlog,Backlog,Historic (non-designated) rural landscape/local landscape area,,,,,,,,,,,,,,,,,,,,,,"Areas in Scotland which are given a local designation to sure that the landscape is not damaged by inappropriate development, and to encourage positive landscape management",,,✓,,,,,,,Local planning authorites,,,,,,,,,,,,,,
Local nature recovery strategy,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Locations to create or improve habitat most likely to provide the greatest benefit for nature and the wider environment,,The Environment (Local Nature Recovery Strategies) (Procedure) Regulations 2023,✓,,,✓,,,,Local planning authorites,,,,,,,,,,,,,,
Local nature reserves,On the platform,On the platform,Protected sites,,,https://docs.google.com/document/d/1ZObCVL1dGKVEgputfdwPs-Ih43UH5Mradk4zvteeA_Y/edit#heading=h.lb9do641w06g,,,,✓,,,,,,,,,,✓,,,,,A protected area of land designated by a local authority because of its special natural interest or educational value,,Section 21 of the National Parks and Access to the Countryside Act 1949,✓,,,,,No,,Natural England,,Single,Small,,,Local Nature Reserves (England),https://naturalengland-defra.opendata.arcgis.com/datasets/Defra::local-nature-reserves-england/about,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Local_Nature_Reserves_England/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,OGL,,Environmental planning assessment;Open planning software,,48,
Local plan consultations and representations,Prioritised backlog,Screen,,,,,,Faster plan making,,,,,✓,,,,,,,,,,,,,,The Town and Country Planning (Local Planning) (England) Regulations 2012,✓,,✓,✓,,,,Local planning authorites,,,,,,,,,,,,,57,
Local plan policies,Backlog,Backlog,,,,,,,,✓,,,✓,,,,,,,,,,,,,,,✓,✓,✓,✓,,,,Local planning authorites,,,,,,,,,,,,,,
Local planning authority,On the platform,Prepared for platform,,,,,,,,✓,,,,✓,,,,✓,,,✓,,,,The planning department of the district or borough council,,,✓,,,,,,,Office for National Statistics,Office for National Statistics,Single,Small,,,,,,,,Development consent orders (NSIP);Environmental planning assessment,13,36,
Local validation checklist,Archived,Archived,Local area requirements,,,,,Modern planning software,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,52,
Local wildlife sites,Next,Backlog,Protected sites,,,,,,,,,,,,,,,,,✓,,,,,Areas of land that are especially important for their local wildlife,,,✓,,,,,,,Biological Record Centres,,,,,,,,,,,Environmental planning assessment,,,
Locally listed areas,Backlog,Backlog,,,,,,,,,,,✓,,,,,,,,,,,,To protect locally important historic places and spaces,,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,Local plans,,,
Locally listed buildings,Prioritised backlog,On the platform,local heritage assets;local lists;local heritage,,,,,,,,,,,,,,,,,,,,,,"A building recognised by the local authority (but not nationally) as having local importance due to its architectural, historical or environmental significance",,,✓,,,✓,,Yes,,Local planning authorities,,,,,,,,,,,,,59,
Locally significant industrial sites (LSIS),Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Sites that have particular local importance for industrial and related functions,,,✓,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
London squares,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,"Protected squares in London that should only be used as ornamental gardens, pleasure grounds or for play, rest or recreation",,,✓,,,,,,,,,,,,,,,,,,,,,
Long established & protected woodland,Archived,Archived,,,,,,TBC,,,,,✓,,,,,,,,,,,,Areas that have been wooded continuously from 1893,,,✓,,,,,,,,,,,,,,,,,,,,,
Main rivers,Backlog,Backlog,Watercourses,,,,,TBC,,,,,,✓,,,,✓,,,,,,✓,Designated larger rivers and streams,,,✓,,,,,,,Natural England,,,,,,,https://www.ordnancesurvey.co.uk/business-government/products/open-map-rivers,,,,Development consent orders (NSIP);Environmental planning assessment,,,
Major railway improvement schemes,Archived,Archived,,,,,,TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,ORR / Network Rail,,,,,,,,,,,,,,
Major roads,Backlog,Backlog,,,,,,TBC,,,,,,,,,,,,✓,,,,,Motorways and all class 'A' roads,,,✓,,,,,,,,,,,,,,,,,,Environmental planning assessment,,,
Marine conservation zones,Backlog,Backlog,Protected sites,,,,,TBC,,,,,,,,,,,,✓,,,,,"Marine areas that protect a range of nationally important, rare or threatened habitats and species",,,✓,,,,,,,Natural England,,,,,,,,,,,Environmental planning assessment,,,
Metropolitan open land (London),Backlog,Backlog,,,,,,TBC,,,,,✓,,,,,,,,,,,,Open space that contributes to the structure of London,,,✓,,,,,,,Greater London Authority,,,,,,,,,,,Local plans,,,
