name,description,synonyms,github-discussion-number,stage,public,expected-number-of-records,frequency-of-updates,prioritised,datasets,specification,useful-links,legislation,slug,blocked-reason,os-declaration,tags
Open roads,"High-level view of the road network, from motorways to country lanes",,83,Co-design,True,,Every 6 months,False,,,"[{'link_url': 'https://www.ordnancesurvey.co.uk/business-government/products/open-map-roads', 'link_text': 'National dataset documentation page'}]",,open-roads,,,connectivity;infrastructure
Non designated heritage asset,"Buildings, monuments, sites, places, areas or landscapes (including Area of Special Local Character (ASLC)) identified by planmaking bodies as having a degree of heritage significance needing consideration in planning decisions, but which do not meet the criteria for designated heritage assets.",,220,Backlog,True,,,False,,,,,non-designated-heritage-asset,,,constraint;heritage;local plan;policies map
Green wedges,"Green wedges - These areas of open land are designed to manage urban growth, maintain separation between settlements, and support environmental quality through the preservation of green infrastructure.",,318,Backlog,True,,,False,,,,,green-wedges,,,amenity;policies map
Building safety levy,"Developers will pay a Levy on new residential buildings which
require building control approval, unless exempt to ensure
fairness and mitigate supply impacts. The Levy will raise funds to pay for remediation of cladding on buildings,
where a developer cannot be held responsible or identified, and is a key
element of ensuring industry pays.",BSL,124,Backlog,True,,,False,,,"[{'link_url': 'https://www.local.gov.uk/topics/housing-and-planning/building-safety-levy', 'link_text': 'Local Government Association - Building Safety Levy'}]",,building-safety-levy,,,data;levy
Hazardous waste interrogator,,,,Archived,True,,,False,,,,,hazardous-waste-interrogator,,,
Land to be acquired for roadworks,Land reserved for roadworks,,194,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/1990/8/contents,land-to-be-acquired-for-roadworks,,,constraint;safeguarded land
Sites of special scientific interest,A protected area that’s of particular interest to science due to rare species of fauna or flora or important geological or physiological features,Protected sites;SSSIs,96,Research,True,,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/site-of-special-scientific-interest.md?plain=1,,"[{'link_url': 'https://www.gov.uk/guidance/protected-areas-sites-of-special-scientific-interest', 'link_text': 'SSSI guidance'}]",,sites-of-special-scientific-interest,,,bng;constraint;environmental;footnote 7;local plan;policies map
Areas which would benefit from flood defences,Areas that would benefit from the presence of defences in a 1 percent fluvial / 0.5 percent tidal flood event.,,113,Backlog,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-areas-benefiting-from-defences', 'link_text': 'National dataset documentation page'}]",,areas-which-would-benefit-from-flood-defences,,,environmental
Conservation areas,An area of special architectural or historic interest with a character or appearance that must be preserved or enhanced,,33,On the platform,True,10000,Ad hoc,False,https://github.com/digital-land/specification/blob/main/content/dataset/conservation-area.md;https://github.com/digital-land/specification/blob/main/content/dataset/conservation-area-document.md?plain=1;https://github.com/digital-land/specification/blob/main/content/dataset/conservation-area-document-type.md?plain=1,https://digital-land.github.io/specification/specification/conservation-area/,"[{'link_url': 'https://docs.google.com/document/d/1xXmcLRxSzEzLB9Z2H2ztsjh75ZtpSVz0V89R2j-hC1g/edit', 'link_text': 'Design process document'}, {'link_url': 'https://app.mural.co/t/mhclg2837/m/mhclg2837/1712065213311/0ddf4128ff318850d5965b157fb7ebd91e3c140a?sender=u1cae178c0a712eade24c2472', 'link_text': 'Conservation areas process map'}, {'link_url': 'https://www.gov.uk/guidance/conserving-and-enhancing-the-historic-environment', 'link_text': 'Historic environment guidance'}]",https://www.legislation.gov.uk/ukpga/1990/9/part/II ,conservation-areas,,"{'status': 'Presumption to publish', 'further_information_url': 'https://github.com/digital-land/data-standards-backlog/discussions/33#discussioncomment-10190956'}",constraint;footnote 7;heritage;local land charge;local plan;odp;policies map
Distribution network operator (dno) licence area,There are 14 licensed Distribution Network Operators (DNOs) in Britain and each is responsible for a regional distribution services area. DNO Licence Areas are sometimes referred to as GSP Groups and historically have also been known as Public Electricity Supplier (PES) regions,GSP Groups;Public Electricity Supplier (PES) regions,101,Research,True,,,False,,,"[{'link_url': 'https://www.neso.energy/data-portal/gis-boundaries-gb-dno-license-areas', 'link_text': 'Available data from NESO'}]",,distribution-network-operator,,,boundary;energy
Ancient and veteran trees,"A tree that is of interest biologically, culturally or aesthetically because of its age, size or condition",Veteran trees,108,Backlog,True,,,False,,,"[{'link_url': 'https://www.gov.uk/guidance/ancient-woodland-ancient-trees-and-veteran-trees-advice-for-making-planning-decisions', 'link_text': 'Ancient and veteran tree guidance'}]",https://www.gov.uk/guidance/ancient-woodland-ancient-trees-and-veteran-trees-advice-for-making-planning-decisions#ancient-and-veteran-trees,ancient-and-veteran-trees,Data is available only under non-commercial licence,,constraint;environmental;footnote 7;licensing restriction;local plan;policies map
Libraries,"A building containing collections of books and other media for use and borrowing by the public. Libraries increasingly have broader offerings, including child and youth provision, community services and health and wellbeing support.",,196,Backlog,True,,,False,,,,,libraries,,,amenity;community;local plan
National forest inventory,"All forest and woodland area over 0.5 hectare with a minimum of 20% canopy cover, or the potential to achieve it",,84,Co-design,True,360143,Annually,False,,,"[{'link_url': 'http://data-forestry.opendata.arcgis.com/datasets/295e0278dc2641e2935c411d28908be9_0', 'link_text': 'National dataset documentation page'}]",,national-forest-inventory,"The available data doesn't have a persistent ID for us to use as the reference. This would make it harder to track any changes that are made to entities.

We should reach out to the Forestry Commission to see if they can add one.
[See github discussion for more details](https://design.planning.data.gov.uk/planning-consideration/air-quality-management-areas/screen/).",,bng;constraint;environmental
Mine entry,The entrances into a mine,,,Archived,True,,,False,,,,,mine-entry,,,
Species data,Curated database of UK wildlife taxonomy ,,,Archived,True,,,False,,,,,species-data,,,
Local air quality action plan,Plan that outlines local action to improve air quality,,200,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/1995/25/contents,local-air-quality-action-plan,,,environmental;local information;local plan
Price paid data,Information on all property sales in England and Wales that are sold for value,,,Archived,True,,,False,,,"[{'link_url': 'https://www.gov.uk/government/collections/uk-house-price-index-reports#about-the-uk-hpi', 'link_text': 'National dataset documentation page'}]",,price-paid-data,,,
Wildlife,Undomesticated animal species,,,Archived,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/wildlife.md?plain=1,,,,wildlife,,,
National grid overhead lines,Electrical cables that transmit electricity across the country,,80,Screen,True,,,False,,,"[{'link_url': 'https://www.nationalgridet.com/network-and-assets/network-route-maps', 'link_text': 'National dataset documentation page'}]",,national-grid-overhead-lines,Restrictive licence,,energy;infrastructure;licensing restriction
Authorised landfill sites,"Areas of land that are used to dump rubbish, either directly on the ground or filling in an unwanted hole",,114,Backlog,True,,,False,,,,,authorised-landfill-sites,,,constraint;development risk
Borehole scans,"Scanned images of the records of all onshore Great Britain (or near shore) boreholes, trial pits, shafts and wells",Wellmaster hydrogeological database index,,Archived,True,,,False,,,,,borehole-scans,,,
Religious grounds,"Green space or greenspace is an area of undeveloped land in an urban context which is not usually available for development, such as playing fields, sports’ facilities, play areas and allotments.",,64,Co-design,True,,Every 6 months,False,,,,,religious-grounds,,,amenity;constraint;heritage;landscape
Best and most versatile agricultural land,Land considered the most capable of growing crops for food and non-food uses,,115,Backlog,True,,,False,https://github.com/digital-land/specification/blob/main/content/dataset/best-and-most-versatile-agricultural-land.md?plain=1,,,https://www.legislation.gov.uk/uksi/2015/595/contents/made,best-and-most-versatile-agricultural-land,,,constraint;environmental;local plan
Historic landfill,Sites where there is no PPC (Pollution Prevention and Control) permit or waste management licence currently in force,,90,Co-design,True,19806,Ad hoc,False,,,,,historic-landfill,"The identified single source dataset is currently blocked by the EA conditional licence, which is non-perpetual. To un-block this, we need to contact the EA to find a solution.",,constraint;development risk;environmental;licensing restriction
Bgs mining hazards (not including coal),The potential for hazards due to underground (non-coal) mining,,116,Backlog,True,,,False,,,,,bgs-mining-hazards,,,constraint;development risk
Other sports facilities,"Courts and greens comprising natural or artificial surfaces, including tennis courts, bowling greens, athletics tracks and other outdoor sports areas",,64,Co-design,True,,Every 6 months,False,,,,,other-sports-facilities,,,amenity;leisure;local plan
Playing fields,Land in the open air provided for physical education or recreation,,64,Co-design,True,,Every 6 months,False,,,,,playing-fields,,,amenity;leisure;local plan;policies map
Coal authority managed tips,Disused colliery tip sites owned and managed by the Coal Authority,,87,Research,True,34,Unknown,False,,,,,coal-authority-managed-tips,,,constraint;development risk
Bldgs (buildings),Tall buildings over 50m,,121,Backlog,True,,,False,,,,,bldgs,,,data
Britpits mines & quarries,"BritPits (an abbreviation of British Pits), include both surface and underground mineral workings, such as mines, quarries, oil wells, gas wells, ash and desulphogypsum plants.",,122,Backlog,True,,,False,,,,,britpits-mines-quarries,,,constraint;development risk
Enforcement notices,,,156,Backlog,True,,,False,,,,,enforcement-notices,,,local land charge;planning permission
Green corridors,Areas that create habitat connections and active travel routes through encouraging exercise and healthy living while linking fragmented sites of biodiversity,,171,Backlog,True,,,False,,,,,green-corridors,,,amenity;constraint;environmental;local plan;policies map
CASI multispectral imagery,,,,Archived,True,,,False,,,,,casi-multispectral-imagery,,,
Annual position statement,,,285,Backlog,True,,,False,,,,,annual-position-statement,,,housing supply and delivery
Central government buildings,Buildings that the UK central government owns or occupies,,,Archived,True,,,False,,,"[{'link_url': 'https://www.data.gov.uk/dataset/c186e17f-654d-4134-aed7-b3f13469546a/central-government-welsh-ministers-and-local-government-including-property-and-land', 'link_text': 'URL of national dataset'}]",,central-government-buildings,,,
Outstanding notices,,,,Archived,True,,,False,,,,,outstanding-notices,,,
Clinics,Buildings which people can go to for medical care or advice,,,Archived,True,,,False,,,,,clinics,,,
Local heritage assets,Assets designated by local authorities which are of local significance and require protection,Non designated and locally listed historic assets;Locally listed areas,204,Backlog,True,,,False,,,,,local-heritage-assets,,,constraint;footnote 7;heritage;local plan;policies map
Major roads,Motorways and all class 'A' roads,,,Archived,True,,,False,,,,,major-roads,,,
Archaeological remains,"Sites where archaeological remains are discovered, and require conservation",,88,Research,True,,,False,,,,https://www.legislation.gov.uk/ukpga/1979/46,archaeological-remains,,,constraint;heritage
Uprn,Unique Property Reference Number (UPRN) is the unique identifier for every addressable location in the UK,,72,Co-design,True,,Every 6 weeks,False,,,"[{'link_url': 'https://osdatahub.os.uk/downloads/open/OpenUPRN', 'link_text': 'National dataset documentation page'}]",,uprn,,,data
BGS geological indicators of flooding,,,,Archived,True,,,False,,,,,bgs-geological-indicators-of-flooding,,,
Locally significant industrial sites (lsis),Sites that have particular local importance for industrial and related functions,,206,Backlog,True,,,False,,,,,locally-significant-industrial-sites,,,constraint;local plan;policies map
BGS geological map scans,,,,Archived,True,,,False,,,,,bgs-geological-map-scans,,,
BGS Geology 10k,,,,Archived,True,,,False,,,,,bgs-geology-10k,,,
BGS Geology 250k,,,,Archived,True,,,False,,,,,bgs-geology-250k,,,
BGS Geology 25k,,,,Archived,True,,,False,,,,,bgs-geology-25k,,,
BGS Geology 50k,,,,Archived,True,,,False,,,,,bgs-geology-50k,,,
BGS Geology 625k,,Geology 625k,,Archived,True,,,False,,,,,bgs-geology-625k,,,
BGS Geology: superficial thickness,,,,Archived,True,,,False,,,,,bgs-geology-superficial-thickness,,,
BGS groundwater flooding,"Areas where groundwater flooding could occur or where groundwater may come close to the ground surface in England, Wales and Scotland",,,Archived,True,,,False,,,,,bgs-groundwater-flooding,,,
Marine conservation zones,"Marine areas that protect a range of nationally important, rare or threatened habitats and species",Protected sites,209,Backlog,True,,,False,,,,,marine-conservation-zones,,,constraint;environmental
BGS permeability,‘Permeability’ refers to whether and how water can flow through a rock. This data is often used in studies of groundwater and in particular during investigations of pollution or aquifer contamination,,,Archived,True,,,False,,,,,bgs-permeability,,,
GeoScour,Information on the likelihood of river scour (when water erodes sediments) occurences,,,Archived,True,,,False,,,,,geoscour,,,
Aircraft noise,,,106,Backlog,True,,,False,,,,,aircraft-noise,,,constraint
Air quality management locations,Locations of air quality monitoring sites,Air quality management areas,,Archived,True,,,False,,,,,air-quality-management-locations,,,
Public transport accessibility levels (ptal),"A detailed and accurate measure of the accessibility of a point to the public transport network, taking into account walk access time and service availability",,241,Backlog,True,,,False,,,,,public-transport-accessibility-levels,,,connectivity;local plan
Areas for environmental enhancement,Areas where new habitats for wildlife will be created or restored,,,Archived,True,,,False,,,,,areas-for-environmental-enhancement,,,
School catchment areas,Geographical area surrounding a school from which it will usually take most of its pupils,,248,Backlog,True,,,False,,,,,school-catchment-areas,,,amenity;connectivity;education;local plan
Canals,Human-made waterways that allow boats and ships to pass from one body of water to another,Watercourses,125,Backlog,True,,,False,,,,,canals,,,amenity;controlled waters;infrastructure
Coal authority mine water treatment schemes,Locations where mine water is treated to improve water quality in polluted rivers,,126,Backlog,True,,,False,,,,,coal-authority-mine-water-treatment-schemes,,,environmental;local information
Existing railway network,The existing railway network.,,160,Backlog,True,,,False,,,,,existing-railway-network,,,connectivity;constraint;infrastructure;local plan
National chargepoint register,Database of public electric vehicle chargepoints  in the UK,,214,Backlog,True,,,False,,,,,national-chargepoint-register,,,amenity;infrastructure
National cycle network,"The UK-wide network of signed paths and routes for walking, wheeling, and cycling outdoors",,215,Backlog,True,,,False,,,,,national-cycle-network,,,amenity;connectivity;infrastructure;local plan
COMAH – major hazard sites,Sites storing or handling large quantities of chemicals or hazardous substances that are covered by the Control of Major Accident Hazards (COMAH) Regulations ,Control of major accident and hazard sites,,Archived,True,,,False,,,,,comah-major-hazard-sites,,,
Local environment record centre boundaries,Local Environmental Records Centre (LERC) areas,LERC,201,Backlog,True,,,False,,,,,local-environment-record-centre-boundaries,,,boundary;defra - complied
Coastal erosion risk,,,309,Backlog,True,,,False,,,"[{'link_url': 'https://www.gov.uk/guidance/updates-to-national-flood-and-coastal-erosion-risk-information', 'link_text': 'New national flood and coastal erosion risk information'}]",,coastal-erosion-risk,,,constraint;development risk;environmental;footnote 7
Contravention of building notices,"Notices requiring work that does not comply with building regulations to be pulled down or removed, or for additional work to be carried out to make it comply",,,Archived,True,,,False,,,,,contravention-of-building-notices,,,
Doorstep greens,New or renovated areas of public open space close to people’s homes that can be enjoyed permanently by the local community,,,Archived,True,,,False,,,,,doorstep-greens,,,
Crossrail route,"Train route linking Reading and Heathrow in the west with Shenfield and Abbey Wood in the east, via tunnels under central London",,,Archived,True,,,False,,,,,crossrail-route,,,
Crossrail stations,"Stations on the train route linking Reading and Heathrow in the west with Shenfield and Abbey Wood in the east, via tunnels under central London",,,Archived,True,,,False,,,,,crossrail-stations,,,
Nhs trusts,An organisational unit within the NHS that serves either a geographical area or a specialised function (such as an ambulance service),,218,Backlog,True,,,False,,,,,nhs-trusts,,,amenity;boundary
Landmark buildings,Buildings of great historical or artistic value that have protection to prevent them from being changed or destroyed,,,Archived,True,,,False,,,,,landmark-buildings,,,
Noise action important areas,A framework to manage environmental noise and to protect quiet areas in large urban areas,,219,Backlog,True,,,False,,,,,noise-action-important-areas,,,environmental;local information
Development consent order boundary,"The boundary of the nationally significant infrastructure project (NSIP), which has been granted planning consent through the development consent order (DCO) process.",,,Archived,True,,,False,,,,,development-consent-order-boundary,,,
Dune slack likely locations,Likely locations and boundaries of dune slacks (a depression in the coastal dune system) for sites around England,,,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/dune-slack-likely-locations', 'link_text': 'National dataset documentation page'}]",,dune-slack-likely-locations,,,
Environmental & pollution notice,Notice issuing penalties for environmental crimes,,,Archived,True,,,False,,,,,environmental-pollution-notice,,,
Nuclear consultation zone,Consultation zones to limit the radiological consequences to members of the public in the event of a radiation emergency,Nuclear safety zones,221,Backlog,True,,,False,,,,,nuclear-consultation-zone,,,constraint;development risk
Nuclear power stations,Power plants that use the process of nuclear fission to generate electricity,,222,Backlog,True,,,False,,,,,nuclear-power-stations,,,constraint;development risk;energy;infrastructure
Explosive and ordnance storage,,,,Archived,True,,,False,,,"[{'link_url': 'https://docs.google.com/document/d/13TarVxC94K5M49_LfJyr2EHW9rZT0_cPsJ_u8fVWNrw/edit#heading=h.lb9do641w06g', 'link_text': 'Fact sheet url'}]",,explosive-and-ordnance-storage,,,
Planning application consultations,The period of consultation where views on the proposed development can be communicated,,225,Backlog,True,,,False,,,,,planning-application-consultations,,,planning permission
Minerals and waste plan,Locations for future minerals extraction (such as sand and gravel pits or crushed rock quarries) and for the development of waste management facilities (such as recycling centres),,212,Research,True,,,False,,,,,minerals-and-waste-plan,,,constraint;local plan;safeguarded land
Coalfield,A coal mining area that could contain unrecorded hazards,,128,Backlog,True,,,False,,,,,coalfield,,,constraint;development risk
Coalfield consultation area,Areas where the Coal Authority recommends a mining search report is required for property conveyancing or development,,129,Backlog,True,,,False,,,,,coalfield-consultation-area,,,
Coastal storm surge flood risk areas,A storm surge is a change in sea level that is caused by a storm. They can lead to extensive flooding and are dangerous for people living in many coastal areas.,,131,Backlog,True,,,False,,,,,coastal-storm-surge-flood-risk-areas,,,constraint;environmental
Coastal topographic surveys,"Surveys covering beaches, dunes, cliffs, saltmarshes and coastal defence structures",,132,Backlog,True,,,False,,,,,coastal-topographic-surveys,,,data;local information
Conservation convenant,"A conservation covenant agreement is a private, voluntary agreement to conserve the natural or heritage features of the land. This can include buildings on the land.",,137,Backlog,True,,,False,,,,,conservation-convenant,,,bng;constraint;local land charge
Critical drainage areas,,,143,Backlog,True,,,False,,,,,critical-drainage-areas,,,constraint;environmental;local plan
Gigabit availability coverage,"The coverage of where wifi download speeds of 1,000mbps (megabits per second) are available.",,281,Backlog,True,,,False,,,,,gigabit-availability-coverage,,,amenity;data;nist
Less favoured areas,Remote and constrained rural areas where funding is provided to farming businesses,,195,Backlog,True,,,False,,,,,less-favoured-areas,,,local information
Planning application variance,Options for amending proposals that have planning permission,Section73,226,Backlog,True,,,False,,,,,planning-application-variance,,,planning permission
Flood risk zones 3,"An area with a 1% (1 in 100) or greater chance of flooding from rivers, or a 0.5% (1 in 200) or greater chance of flooding from the sea ",,46,Archived,True,,,False,,,"[{'link_url': 'https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-flood-zone-3', 'link_text': 'National dataset documentation page'}]",,flood-risk-zones-3,,,
Food hygiene rating,Rating that reflects the standards of food hygiene found on the date of the local authority inspection,,,Archived,True,,,False,,,,,food-hygiene-rating,,,
Village green status,,,286,Backlog,True,,,False,,,,,village-green-status,,,constraint;landscape
Grey belt,,,306,Backlog,True,,,False,,,,,grey-belt,,,opportunity;policies map
Business improvement districts,Business Improvement Districts are business led partnerships which are created through a ballot process to deliver additional services to local businesses.,,311,Backlog,True,,,False,,,,,business-improvement-districts,,,local plan;policies map
Previously developed land,Specifically used by local planning authorities when considering releasing green belt and has very specific requirements and purposes.,,315,Backlog,True,,,False,,,,,previously-developed-land,,,opportunity
Food safety notice,Notices of serious food safety problems that can include banning certain equipment or processes until improvements have been made,,,Archived,True,,,False,,,,,food-safety-notice,,,
Development corporation,"Statutory bodies set up to regenerate a designated area - once designated, they become the planning authority",,148,Backlog,True,,,False,,,,https://www.legislation.gov.uk/ukpga/2016/1/enacted,development-corporation,,,boundary;policies map
GeoClimate,Maps and data showing potential change in subsidence due to changes in climate,,,Archived,True,,,False,,,"[{'link_url': 'https://www.bgs.ac.uk/datasets/geoclimateukcp18-open/', 'link_text': 'National dataset documentation page'}]",,geoclimate,,,
Geological disturbance - faults,Lines of discontinuity in bedrock where rocks have moved relative to each other,,,Archived,True,,,False,,,,,geological-disturbance-faults,,,
Geological disturbance - fissure and breakline,"Fissures are a crack or opening in rock or the earth created by mining  and breaklines are a vertical step in the rock or earth, created when underground mining has caused differential settlement at the surface",,,Archived,True,,,False,,,,,geological-disturbance-fissure-and-breakline,,,
Geology 625K,Data identifying landscape areas (shown as polygons) attributed with geological names and rock type descriptions,BGS Geology 625k,,Archived,True,,,False,,,"[{'link_url': 'https://www.bgs.ac.uk/products/digitalmaps/DiGMapGB_625.html', 'link_text': 'National dataset documentation page'}]",,geology-625k,,,
GeoSure 5km hex grids,Overview of the likelihood of 6 naturally occurring geohazards ,,,Archived,True,,,False,,,,,geosure-5km-hex-grids,,,
GeoSure shrink-swell 3D,Map identifying areas of potential shrinking and swelling of the ground in 3D in the London and Thames Valley area,,,Archived,True,,,False,,,,,geosure-shrink-swell-3d,,,
GeoSure shrink-swell subsurface,Map identifying areas of potential shrinking and swelling of the ground that are hidden from the surface underneath other solid formations ,,,Archived,True,,,False,,,,,geosure-shrink-swell-subsurface,,,
Police stations,The local headquarters of the police,,227,Backlog,True,,,False,,,,,police-stations,,,infrastructure;local plan
Pollinator corridors,"A corridor of native plants that connects different areas of habitat, providing nutrition and homes for pollinators",,228,Backlog,True,,,False,,,,,pollinator-corridors,,,constraint;environmental
Ports,"A maritime facility comprising one or more wharves or loading areas, where ships load and discharge cargo and passengers.",Ferry exchanges,229,Backlog,True,,,False,,,,,ports,,,connectivity;infrastructure
GP practices,Buildings in which one or more GPs provide general medical services to patients,,,Archived,True,,,False,,,,,gp-practices,,,
Previously listed buildings,Listed buildings that have been de-listed,,230,Backlog,True,,,False,,,,,previously-listed-buildings,,,heritage
Primary healthcare,"Primary care services provide the first point of contact in the healthcare system, including GPs, pharmacies, dentists, and optometrists",,231,Backlog,True,,,False,,,,,primary-healthcare,,,amenity;health;local plan
Primary schools,Primary education typically cover those aged between 4 and 11.,,232,Backlog,True,,,False,,,,,primary-schools,,,amenity;connectivity;education;local plan
Priority habitat inventory,Geographic extent and location of habitats of principal importance,,233,Backlog,True,,,False,,,,,priority-habitat-inventory,,,bng;constraint;environmental;footnote 7
Landmark features,Easily recognisable features of land that help us work out where we are,,,Archived,True,,,False,,,,,landmark-features,,,
